Quest.;Curso;Turno;Semestre;sexo;idade;CF;Estado civil;RMI;RF;Fonte de renda;Municipio;Acesso a Internet;Horas de acesso;MTG;CUCMF;ACAI;UICSF;UIDA;UBDA;CEA;CFPP;CPC;PQC;PQNC;IPIC;PIPI;SNC;CCPI;MGCO;FDC;DU;TDP;CATCP;CPE;ECE;MIN;MIP;ADC;IMPORTAÇÃO;TPI
75;C. Sociais;tarde;VI;1;22;5;0;500,00;2000,00;4;Juazeiro do Norte;1;2;2;1;1;0;1;1;1;1;1;2;;1;1;1;1;1;4;3;3;0;0;0;0;0;1;1;1
76;C. Sociais;tarde;VI;0;19;2;0;400,00;800,00;4;Juazeiro do Norte;0;2;0;1;0;1;0;0;0;2;0;;1;1;0;2;1;1;4;1;3;1;0;3;1;0;2;0;
77;C. Sociais;tarde;II;1;24;2;0;200,00;600,00;1;Crato;1;3;1;0;3;1;0;0;1;2;0;;1;2;0;2;1;0;5;1;2;1;0;3;0;3;2;1;1
78;C. Sociais;tarde;IV;0;19;1;0;400,00;400,00;4;Barbalha;1;1;0;2;1;1;1;0;0;1;0;;1;2;0;2;0;0;0;0;0;0;0;0;1;1;1;0;
79;Letras;noite;IV;1;20;2;0;0,00;1200,00;0;Juazeiro do Norte;1;1;0;4;1;0;1;0;0;2;0;;0;0;1;2;0;0;0;0;0;0;0;0;3;0;1;0;
80;Letras;manhã;II;0;18;2;0;500,00;1400,00;5;Iguatu;1;3;2;4;3;1;1;1;0;2;1;0;;2;1;1;1;0;5;3;2;0;0;3;1;1;2;0;
81;Letras;noite;IV;0;20;3;0;1000,00;2000,00;1;Juazeiro do Norte;0;1;0;2;1;1;1;0;0;0;0;;1;2;0;2;1;1;3;3;3;1;1;3;0;0;2;0;
82;Letras;noite;IV;0;28;2;0;600,00;600,00;1;Juazeiro do Norte;1;2;2;2;2;1;1;0;0;2;0;;0;1;0;0;0;0;0;0;0;0;0;0;2;1;1;0;
83;Letras;manhã;II;1;19;7;0;0,00;1300,00;0;Crato;1;2;2;1;3;0;1;0;0;0;1;2;;2;1;2;1;1;4;3;1;0;1;3;1;1;2;1;0
84;Letras;noite;II;1;23;3;0;0,00;120,00;0;Crato;1;2;0;0;0;1;1;0;0;2;0;;1;2;2;2;1;1;5;1;1;0;0;3;2;3;2;0;
85;Letras;noite;III;0;23;5;0;200,00;998,00;2;Nova Olinda;1;2;0;1;0;1;1;0;1;2;1;0;;1;1;1;1;1;6;1;2;1;0;1;0;1;2;0;
86;Letras;noite;IV;1;19;3;0;0,00;998,00;0;Santana do Cariri;1;1;0;0;1;1;1;0;1;0;0;;1;1;0;2;1;1;4;3;2;1;0;1;2;0;2;0;
87;Letras;manhã;I;0;23;3;0;0,00;100,00;0;Crato;1;1;2;1;1;1;1;0;0;0;0;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;
88;Letras;manhã;II;0;20;2;0;0,00;1300,00;0;Crato;0;0;2;1;0;1;1;0;1;0;0;;1;2;2;2;0;0;0;0;0;0;0;0;1;0;0;0;
89;Letras;manhã;II;1;19;5;0;0,00;1500,00;0;Crato;1;3;2;4;2;1;1;0;0;0;1;0;;1;0;2;0;0;0;0;0;0;0;0;1;0;2;0;
